name,comment,star
ĐInh ÐăNg KhÔI,"Máy mới, nguyên seal, chất lượng tốt,Giá cả hợp lý",5
NguyỄN H PhÚC,"Đã nhận được hàng, đóng gói chắc chắn, nhờ tiki kích hoạt bảo hàng",4
ĐậU Quang HoÀN,mình nhận được máy a50 2 ngày rồi mà chưa nhận được tin kích hoạt bảo hành của samsung nữa.,3
PhƯơNg TrƯơNg,"Pin tốt, camera tốt, cảm biến vân tay ổn. Rất hài lòng về sản phẩm.",5
HuỲNh Thanh PhƯơNg,Hàng của Tiki thì lúc nào cũng rẻ hơn thị trường! Sẽ tiếp tục ủng hộ Tiki,4
TrẦN TrỌNg Nghi,"Hàng đúng như giới thiệu, nhưng không biết kích hoạt bảo hành chính hãng như nào? Tiki chỉ dùm.",5
HoÀNg LÂN,"Hàng được đóng gói kỹ và giao nhanh như mong đợi. Good job, TIKI !",5
PhẠM Huy HẬU,"Vận chuyển nhanh, đóng gói cẩn thận, Máy nguyên đai, nguyên niêm phong, máy đẹp, đúng mô tả.",5
NguyÊN Ba,Giao hàng nhanh. đúng mẫu mã. hàng còn nguyên tem ngoài hộp nhưng hộp ko được đóng bao nilong,4
ĐăNg Khoa,NGON NHẤT TRONG TẦM GIÁ :) .RẺ VÀ ĐẸP. MỌI NGƯỜI NÊN MUA CON NÀY NHÉ,5
NhÍ KhƯU VĂN,"sản phẩm được đóng gói cẩn thận ,vừa mới giao cần shop hướng dẫn kích hoạt bảo hành",4
HuỲNh KhÁNh Duy,"Mua cho mẹ rất ưng ý, màu đen rất đẹp, sẽ ủng hộ tiki dài",5
BÙI NgỌC Long,galaxy a50 ngoại hình tương đối ổn. Vân tay hơi chậm ...................... ...,3
NguyỄN TrỌNg VẤN,Tiki giao hàng nhanh. Full box gói cẩn thận. Mới mua xong lên 500k hên nhỉ.,5
PhẠM NguyỄN XuÂN VŨ,Hàng chất lượng. Giá tốt. Đóng gói đẹp. Giao hàng nhanh chóng nhưng anh giao hàng hối và nhăn quá,5
Ha Thuc Dinh,"Cám ơn Tiki đã giao hàng nhanh, hàng mới đúng như mô tả, xài thử thấy rất OK.",5
NGUYEN PHUONG,"Món hàng giá trị lơn chỉ hàng từ Tiki Tranding mới dám mua, những shop khác thôi xin chừa",5
KiỀU Thanh,T đã nhận máy máy đẹp nhờ tiki kích hoạt bh điện tử giúp ạ,4
LƯU HuỆ,"Máy mới, chưa kích hoạt, dùng mượt, mua đúng lúc giảm giá còn 4,6 triệu.",5
HoÀNg Lanh,"Giao hàng nhanh, chất lượng tốt so với giá tiền. Tuy nhiên vân tay sử dụng k được tốt",5
Phan ThỊ DiỄM,"Máy xài rất ổn, giá tốt hơn nơi khác và Tiki hỗ trợ cũng rất tốt.",5
LÊ HỒNg NgỌC,Nhờ tiki kiểm tra và kích hoạt bảo hành điện tử cho mình nhé!,5
Phan NguyỄN MỸ DuyÊN,bin k tốt lắm còn lại tạm dc. so sánh vs oppo f9 cùng giá nhưng vẫn thích f9 hơn con này,4
Vo Son Trung,"Xin hỏi Làm sao để kiểm tra bhdt được vậy, đã gởi imei tới 6060 mà không thấy trả lời .",4
BÙI HẢI Anh,"Chính hãng, đúng mô tả sp. Sử dụng tốt, chưa gặp vấn đề gì.",5
Truong Hoai An,"sản phẩm còn nguyên seal, bảo hành được kích hoạt sau 3 tiếng nhận được hàng",5
Tam Vo,"Hàng chính hãng còn nguyên seal, giá hợp lý, màn hình đẹp",5
HỮU HuỲNh,mua trả góp cho thằng e nó đang xài thấy ok lắm ...,5
Đỗ Anh TuẤN,Giá quá hợp lý so với các cửa hàng di động bên ngoài,5
Chin The,hàng chính hãng mà rẻ hơn ở ngoài thị trường tận 1 triệu,5
LÊ QuỐC HƯNg,sản phẩm OK trong tầm giá. Rất hài lòng với chất lượng dịch vụ,5
Ngoc Lanh,Kích hoạt bảo hành dùm mình với Tiki ơiii .!!!!!!!!,5
LÙI KhÔNg TiẾN,"Sản phẩm như quảng cáo, dùng ổn định, giao hành theo kế hoạch",5
Pham Thai Hoang,"Sản phẩm có giá hợp lý, giao hàng nhanh và đóng gói cẩn thận",5
Thien Bui,"Giao hàng nhanh hơn dự kiến, sản phẩm chính hãng chắc tay (y)",4
Tuan Van Tran,"Máy đẹp , đóng gói kỹ , nhân viên giao hàng lịch sự , luôn tin tưởng hàng của tiki",5
Nguyen Huu Bien,Hợp giá tiền. Nhưng vân tay chưa nhanh lắm còn lại mọi thứ đều ổn. Chơi game tốt,5
Linh NguyỄN,Hàng được Tiki đóng gói rất kỹ và giao hàng rất nhanh.,5
Thanh Sang,Nhờ TiKi kích hoạt bảo hành giúp máy này nha nha nha,5
Hieu Nguyen,giao hàng nhanh chính hãng samsung bảo hành đầy đủ,3
HÙNg Chuong,"giao hang nhanh, điện thoại chính hảng có nhận thông báo bảo hành của hảng",5
DƯơNg ĐặNg BẢO PhÚC,ổn định trong tầm giá máy cấu hình cao độ phân giải sắc nét ^^,5
COMPUTER ATI,nhắn tin gởi cho 6060 không thấy hồi đáp. còn cách nào khác ko vậy shop,5
NguyỄN PhƯớC Minh,Sản phẩm đẹp như mô tả. Nguyên seal samsung vietnam,5
Vinh Nguyen,Máy đã kich hoạt nên là máy đã qua sưe dụng không phải máy mơi,4
Heocon Tran,sản phẩm ok. còn nguyên tem fullbox. nhờ shop kích hoạt bảo hành dùm.,5
NguyỄN Phan ĐứC ThỊNh,"Shop kích hoạt bảo hành giùm nha shop, thanks! Đã nhận được máy r nha.",5
Ho Hoang Oanh,"Giao hàng nhanh, hàng đảm bảo. Mua hàng trên Tiki lúc nào cũng thấy an tâm.",5
NguyỄN VĂN Vinh,"Hàng chính hãng, rất ok, tuy nhiên bộ phận giao hàng nhanh rất tồi",5
NguyỄN KhẮC HÙNg,Sao dùng mã ELBD200 lại không được vậy? đặt có kèm quà tặng gì k?,4
NguyỄN NgỌC ThẮNg,Nhìn chung sản phẩm tốt so với giá tiền. Thời gian giao hàng rát nhanh.,4
Tran Nam Kha,"hàng giao nhanh, sử dụng tốt. Rất ok. Tiki cứ thế phát huy nhé",5
NguyỄN HẢI Quang,cám ơn các bạn tiki now đã giao hàng đúng giờ. đánh giá cao tiki.,4
Nguyen Duy Phuc,Mọi thứ đều OK tuy nhiên cảm ứng màn hình nhận vân tay cực kém!,4
VĨNh HÒA,"Mình đã nhận đc máy, vậy còn bảo hành điện tử thì ntn shop",5
Tu Thi Thuy An,"Hàng hot giá hợp lý, có tặng phẩm kèm theo ốp lưng ngoài mong đợi",5
Pham Son,Đối tác vận chuyển có thái độ ko tốt với khách hàng.,2
Kay,Sp được xem là flagship đúng nghĩa từ ngoại hình đến cấu hình!,5
LÊ ViẾT CẢNh,"Máy tốt, giao hàng ở tỉnh nhưng rất nhanh, chưa tới 24h.",5
NguyỄN TrẦN NhẬT Huy,mới sài 1 tháng. thấy rất hài lòng. nên mua samsung thay vì iphone,5
Steven PhƯơNg,"Sản phẩm tốt, nguyên seal nguyên hộp. chưa thấy lỗi gì",5
NguyỄN ThẮNg,"Rất tốt và rẻ, mọi người nên mua!",5
NguyỄN VĂN ChiẾN ThẮNg,"giao hàng đúng mẫu, máy đẹp, thời gian giao hàng nhanh trong 2h.",4
NGUYEN TAN TRUNG,Mình mua được với giá 5.990.000 VNĐ. Sản phẩm nhìn cũng ok,4
PhÙNg Minh QuÂN,"đã nhận hàng, nguyên seal. hài lòng với chất lượng.",5
Nguyen Van Hoang,sp ok. tiki giao hàng nhanh truoc 2 hôm. Rât hài lòng,5
LÊ N. Minh,Tiki giao hàng nhanh. Máy chơi Liên Quân có chế độ fps cao.,5
Nguyen Minh Duy,Có màu đen không Tiki? có thêm ưu đãi gì của hãng không?,4
TuyẾT Nga,có khi nào giao hàng sớm hơn dự kiến khi đặt mua k shop,4
NguyỄN ViỆT Anh,"Máy mới , nguyên seal , giá ok",5
Nguyen Thanh Binh,"Nhìn chung máy đẹp, pin rất trâu dùng rất hài lòng.",5
Minh CÔNg,đt dùng tốt. mua với giá 6190k rẻ nhất thị trường.,5
Kim PhỤNg,Mua giao 2h co ngay va xai rat OK den thoi diem nay.,5
NgÔ BẰNg,máy mới chính hãng bảo hành điện tử công ty sam sung mua sau 1 ngày máy dc kích hoạt điện tử nói chung hàng chất lượng giá thành re so với mặt bằng trung,5
VŨ NguyỄN,"thông tin sản phẩm samsung a50 tiki ghi 4 nhân 2.3hz 4 nhân 1.6hz trong khi đó samsung a50s ở tgdd ghi cũng y chang vậy, có nhầm lẫn gì không tiki ơi",3
HỒ ViỆT,khi nhận hàng có được tét hàng ko nhỉ. hay là chỉ được kiểm tra thôi mình đang có ý định mua mà chưa biết sản phẩm thế nao,4
PhÚC TrƯơNg HoÀNg,máy mới nguyên seal chính hãng. mua giá 5tr7 rẻ hơn giá thị trường. dùng rất mượt,5
Huu Trung,Mua máy có nhận được Bảo hành rơi vỡ 6 tháng như chương trình đặt hàng bên TTDĐ hay FPT ko ạ?,5
Trung Le,nếu minh mua mà giao ko đúng sp thì mimh được đỗi trả ko tiki và đỗi trã ntn ạ,5
PhÚC HẬU PhẠM,con này co xài được HDMI ko add ..nguyên khối hay rời vậy add có quà tặng ko,3
NguyỄN VĂN An,sản phẩm có đc bảo hiểm rơi vỡ 6tháng ko? có đc tặng sạc dự phòng ko shop?,4
HÀ VĂN LƯơNg,xin hỏi sam sung galaxy a 50 có bán trả góp ko vậy tôi muốn mua một cái màu xanh,5
ĐặNg NgỌC QuyÊN,"Mình mới mua giao hàng nhanh, hàng chính hãng, cám ơn Tiki, luôn ủng hộ",5
Vu Quang Linh,ko biet ra nào vừa đặt hàng hơi mung lung chưa mua ở tiki bh có tốt ko vậy cc,5
BÙI VĂN TiỄN,Máy có hỗ trợ 5G không shop ơi? Sợ ko có 5G mà sang năm được dùng 5G rồi,5
DƯơNg PhÚC,sản phẩm này khá là tốt nên là các bạn hãy dùng nhiều nha,5
Vinh LÊ,nếu giảm thấy ưng í thì tôi mua có màu khác ko giau hàng có miễn phí ko,5
Mario Legard,sao không mua sp cũng đánh giá đươc vậy sp nào chả tốt,5
Thu Hoa,m mua về dùng rồi nhung chưa dk bảo hành điện tử dc,4
TuẤN VŨ,sao mã elbd200 ko xài dx vậy.... ai còn mã nào cho xin với...,4
NguyỄN ThỊ BÍCh Long,còn loại 6gb k shop mk cần mua loại 6gb ...............,5
Cao PhƯơNg Nga,"MÁY OK, MỖI TỘI PIN TỤT NHANH. TIKI GIAO HÀNH KHÁ NHANH!",5
BÉ Chang,có hàng chưa shop. giảm mạnh vậy có đc ưu đãi gì kg,4
ĐOÀN TiẾN,Cho hỏi là bên mình Có phiên bản Ram 6gb chưa shop?,5
